,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
A_Ch_R4500,0.170905881,-0.038393518,-0.004375474,-0.086274127,-0.018829174,0.074304816,0.08636476,0.131692052,-0.103183977,0.035100548,0.139602453
A_Ch_R4000,0.170226977,-0.039992588,-0.009928337,-0.089958604,-0.016759395,0.071290661,0.091951876,0.131748683,-0.09830026,0.06650927,0.131654459
A_Ch_R5000,0.169745698,-0.039407514,-7.06E-05,-0.088487501,-0.019731655,0.07648375,0.078684427,0.136687298,-0.10395007,0.00727262,0.152432422
A_Ch_R3500,0.169583667,-0.041300833,-0.013201449,-0.09757446,0.000927495,0.062567532,0.100293426,0.130432928,-0.083188268,0.091408868,0.132676353
A_Ch_R1500,0.167025368,0.006879135,-0.025848612,-0.069378982,0.021495755,0.082442808,0.196803561,0.052788863,0.044805361,0.100298054,-0.00737603
A_Ch_R3000,0.165680737,-0.048875992,-0.010360574,-0.118217379,0.044941759,0.040915835,0.11408607,0.126292554,-0.051000017,0.107436234,0.12229503
A_Ch_R2000,0.165235707,-0.037232489,-0.012256956,-0.110212905,0.060388552,0.051823799,0.167192862,0.07525726,-0.020499611,0.089606956,0.046613956
A_Ch_R1250,0.162821878,0.043274098,-0.040844952,-0.033085766,0.008493626,0.092040626,0.183128235,0.033592646,0.087111141,0.133445126,-0.013137025
M_CH_R3500,0.161727158,0.01331641,-0.069186692,-0.128930711,-0.103453909,0.079512351,-0.105878802,-0.014273027,-0.045259428,-0.146768147,-0.066205278
M_CH_R4000,0.160002233,0.009966127,-0.064343867,-0.119248027,-0.11863896,0.095671836,-0.107213399,0.017580912,-0.055014433,-0.15575941,-0.060298827
A_Ch_R2500,0.159999575,-0.055582829,-0.007070561,-0.131756774,0.081370152,0.027153061,0.132263103,0.105209997,-0.02582617,0.100943824,0.098671443
M_CH_R3000,0.159878048,0.019158715,-0.07686488,-0.146883864,-0.076735406,0.053686965,-0.103679133,-0.071021335,-0.033506878,-0.14129117,-0.08637919
M_CH_R4500,0.156602824,0.00771617,-0.061843873,-0.116674946,-0.127946223,0.10353066,-0.116766436,0.031359178,-0.053961308,-0.172320219,-0.051324204
A_I_R1000,0.154755769,-0.003110421,0.158688991,0.040791842,0.094463465,-0.022823361,0.001763271,0.027121257,0.173671504,0.034720193,0.034777387
A_I_R1250,0.153704443,-0.042583736,0.158909951,0.036323834,0.102717234,-0.025368236,-0.023004282,0.005888511,0.146925235,0.003390851,0.020669512
M_CH_R5000,0.153309398,0.004935713,-0.059434003,-0.118022499,-0.134304008,0.108222193,-0.126449933,0.038103922,-0.055179312,-0.187889129,-0.039776631
A_Ch_RN,0.152330068,-0.021517761,0.038319209,-0.071992915,-0.068411486,0.114751561,-0.037785129,0.087960443,-0.104272404,-0.178134422,0.162952199
A_I_R1500,0.152329817,-0.061716512,0.165997622,0.042770546,0.083304841,-0.023778634,-0.033513286,-0.049303598,0.100768444,-0.003500212,0.043305228
M_CH_R2500,0.152220136,0.029628035,-0.08146381,-0.159016051,-0.043655925,0.018151317,-0.080937298,-0.140736146,-0.007230706,-0.145635751,-0.132582054
M_CH_R2000,0.148433102,0.047468169,-0.083974892,-0.144835481,-0.036653209,0.005494507,-0.007688157,-0.174986689,0.026485467,-0.099130616,-0.186523835
A_I_R3000,0.147285087,-0.076463799,0.157291281,0.128888464,-0.048797061,-0.014665494,-0.039150828,-0.058574081,0.048015906,-0.012800018,-0.018734999
A_I_R2500,0.145312599,-0.07367138,0.171734051,0.11051806,-0.017268243,-0.025942119,-0.049237124,-0.05906537,0.087168132,-0.035495673,0.008955653
A_I_RN,0.14442292,-0.108078089,0.128897599,0.082049887,-0.004408442,-0.0270244,-0.078149438,-0.018518614,0.027369689,-0.024237742,-0.017067313
M_CH_R1500,0.14289001,0.085249699,-0.088028526,-0.074160344,-0.060108403,-0.013318228,0.107410577,-0.163870917,0.102666775,-0.008928722,-0.213352177
A_I_R3500,0.142848842,-0.085455282,0.152834124,0.139615214,-0.06654047,-0.022006716,-0.037067519,-0.051212959,0.043676757,0.003945544,-0.021840654
A_Ch_R1000,0.141976624,0.103563487,-0.046097115,0.006512058,-0.001258159,0.111878827,0.140470388,0.014680477,0.061228627,0.185538824,-0.033650484
A_I_R2000,0.141944973,-0.085685646,0.172190327,0.08195473,0.05711825,-0.016570475,-0.04774468,-0.041575881,0.119082056,-0.05170373,-0.008384173
A_I_R4000,0.141697288,-0.093034468,0.149624273,0.133677258,-0.073974254,-0.024476895,-0.032298228,-0.045421943,0.031919632,0.000291291,-0.047943637
A_I_R5000,0.141030936,-0.100249326,0.140610216,0.133342829,-0.076663021,-0.029556366,-0.034129081,-0.040142766,0.03760741,-0.031441487,-0.05266777
A_I_R4500,0.140452492,-0.099010917,0.145376075,0.132565414,-0.069898941,-0.034000852,-0.030607507,-0.044664487,0.046522825,-0.017885172,-0.064733628
A_I_R750,0.136254046,0.070760824,0.189292341,0.077509714,0.059436818,0.002375269,-0.027075656,-0.018018692,0.148680524,0.002734892,0.055499972
M_CH_RN,0.131393565,0.002441062,-0.004655103,-0.109054186,-0.134530012,0.117476447,-0.173373853,0.098524299,-0.05486168,-0.259925435,0.086134555
M_CH_R1250,0.129765092,0.128142575,-0.084116669,-0.024878611,-0.072481408,-0.033979706,0.12878159,-0.148858873,0.149979885,0.025217505,-0.180025963
T_Ch_R2500,0.126760792,-0.041973983,-0.18886855,0.087369041,0.152564571,-0.120637753,-0.041026867,0.005174788,-0.022354968,-0.002140711,0.039471039
T_Ch_R2000,0.126507958,-0.002580674,-0.213019952,0.099189087,0.084483953,-0.104602574,-0.013062866,-0.06001151,-0.007738103,0.048876162,0.049543396
T_Ch_R1500,0.124624506,0.044241322,-0.219319622,0.087664839,0.003784237,-0.069031064,-0.050614826,-0.100324837,-0.043705584,0.037774866,0.13198177
T_Ch_R3000,0.122868537,-0.045861662,-0.180476242,0.076701883,0.165357913,-0.149669901,0.02791323,0.043782542,-0.032174614,-0.084974066,-0.023200341
T_Ch_R3500,0.107856735,-0.0457652,-0.18481113,0.117561727,0.188627079,-0.134885681,0.023577919,0.043194719,-0.034050065,-0.044312151,-0.057473576
T_Ch_R1250,0.107286277,0.086435625,-0.217423296,0.103028282,-0.028928254,-0.022640045,-0.044269225,-0.184987773,0.048458155,0.051805875,0.11530432
T_Ch_R4000,0.104282184,-0.047685684,-0.193680027,0.136300869,0.174807926,-0.127027126,0.013351815,0.070291813,-0.002999922,-0.068090578,-0.058115706
M_CH_R1000,0.10253411,0.193803382,-0.053335925,0.011272695,-0.069634536,-0.037184569,0.099358661,-0.118457424,0.122394092,0.073476759,-0.135790077
A_I_R500,0.099774144,0.150083716,0.181525279,0.060067,0.052022223,0.017951935,-0.024811735,-0.059182302,0.030031469,-0.007857892,0.008410173
T_Ch_R4500,0.095285696,-0.045994512,-0.202202084,0.151135168,0.166930987,-0.119727233,0.03162437,0.081714679,-0.023291657,-0.076735611,-0.098579821
T_Ch_R5000,0.089617904,-0.043228735,-0.190838158,0.159153375,0.177071047,-0.12077265,0.030453844,0.103008529,-0.000912996,-0.125117648,-0.106400118
A_Ch_R750,0.087579489,0.196821629,-0.012892915,0.054628437,-0.013908983,0.1050337,0.101381801,0.026974813,-0.018951163,0.146423872,-0.014479987
T_Ch_R1000,0.077215305,0.13863348,-0.184410657,0.109629222,-0.055070686,-0.000985082,-0.063386184,-0.198081156,0.06934565,0.047629711,0.221319141
M_CH_R750,0.054802824,0.243348225,-0.000219975,0.023404856,-0.038071165,-0.03609006,0.049668999,-0.078550341,0.02708637,0.048904833,-0.07653291
T_Ch_R750,0.053141439,0.178755424,-0.120522915,0.134295281,-0.029709427,0.014640798,-0.052641429,-0.16640373,0.023366909,0.026180962,0.235233128
A_I_R250,0.045517004,0.200983289,0.132913073,0.122064288,0.025412115,0.021593755,0.043081756,0.052152647,-0.087015,-0.021663566,0.090484742
M_MD_R500,0.035961195,-0.145921361,-0.079544209,-0.102790686,0.029601874,0.006306672,-0.191669397,-0.17490207,-0.086228822,0.274869222,-0.10053559
M_MD_R1000,0.034960784,-0.228445735,-0.028195952,-0.006411394,0.063034636,0.032370676,0.172585167,0.007950459,0.097218557,0.021514155,-0.041956501
M_MD_R750,0.034113859,-0.236682394,-0.054012211,-0.057633232,0.010180296,0.054719974,0.014847898,-0.025288416,0.126035381,-0.003950692,0.085569463
A_Ch_R500,0.033733292,0.24203178,0.016459627,0.069594584,-0.014322754,0.040275438,0.079911918,0.092586534,-0.037144267,0.031022716,-0.008746425
T_Ch_R250,0.031415949,0.227843846,0.073239467,0.085637034,0.037838561,0.012230159,0.058490976,0.11470535,-0.030011557,-0.199011045,0.002666516
M_MD_R3000,0.028015477,-0.012787496,-0.064876742,0.224012722,-0.287393097,0.104045073,-0.016226092,0.152238518,-0.093899418,0.151033843,-0.032009137
T_Ch_RN,0.027531637,-0.024906114,-0.011236148,0.175005685,0.044781355,-0.109327786,-0.087378686,0.384218416,0.110158315,-0.136965676,0.070898603
M_CH_R500,0.021992115,0.253338486,0.034966614,0.023372769,-0.015607874,-0.037931196,0.039578352,0.021077298,-0.035875937,-0.008702424,-0.034451973
M_MD_R3500,0.015350248,-0.071982247,-0.066618618,0.21569409,-0.268790385,0.148538764,0.024745575,0.098298726,-0.134255149,0.160815465,-0.133737815
A_Ch_R250,0.015187716,0.229386783,0.074141772,0.048004639,0.065101096,0.009484915,0.066291462,0.186871634,-0.035911246,-0.121813893,-0.124251779
M_MD_R1250,0.01448696,-0.212312911,-0.02160536,0.036205385,0.08227473,0.026601299,0.218351536,-0.069194136,-0.110267421,-0.095243468,-0.024784081
