,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
T_Ch_R500,0.013079654,0.218914824,-0.034374613,0.100112097,-0.010698051,0.000863167,-0.011036739,-0.108187804,-0.059162623,-0.118674904,0.175961779
M_CH_R250,0.0113169,0.236240713,0.089165691,0.031005423,0.049124612,-0.028019799,0.031791078,0.137145548,-0.066562038,-0.129190301,-0.073832221
Park,3.23E-18,-1.98E-18,9.56E-18,3.94E-20,-7.24E-17,6.66E-17,8.24E-18,5.87E-17,6.15E-17,2.32E-16,3.32E-17
BANKOFF,-4.04E-17,3.44E-17,-4.62E-18,9.30E-18,-5.55E-17,4.07E-17,-1.19E-17,-1.25E-17,1.52E-17,-1.82E-16,-5.16E-17
M_MD_R1500,-0.006983275,-0.16922153,-0.017563044,0.064534982,0.000574457,0.061183715,0.197242269,-0.198973076,-0.150901222,-0.182653713,0.030743243
M_MD_R2500,-0.016737737,0.018305688,-0.04841338,0.194705134,-0.32951801,0.055522491,-0.0050928,0.179016751,0.082740649,0.104386089,0.106240454
EDUCAT,-0.017029098,0.02925939,-0.151984024,-0.091737677,-0.149318229,0.039055635,0.06046451,0.010297557,0.409769151,0.106191543,0.108866665
M_MD_R4000,-0.017318155,-0.117903352,-0.145964736,0.158731999,-0.233345781,0.064588432,0.0317875,0.050816744,-0.141973385,0.090307957,-0.217037095
M_MD_R250,-0.03365791,-0.08442262,-0.0205596,0.086608507,-0.161437492,-0.040691418,-0.017674341,-0.268051788,-0.135407026,-0.146446876,0.397882035
CONTVTY,-0.037135823,-0.003947136,0.093477473,0.055003098,0.027303468,0.165080376,0.450807761,-0.177607632,-0.17076462,-0.101233916,-0.011461125
COMCEN,-0.039671782,-0.026170645,-0.084074742,0.146632224,0.178991444,0.356413346,-0.083607676,0.037343833,0.063680063,-0.064679228,0.036594238
INDUST,-0.039671782,-0.026170645,-0.084074742,0.146632224,0.178991444,0.356413346,-0.083607676,0.037343833,0.063680063,-0.064679228,0.036594238
PUBINST,-0.0432485,0.094118415,0.030373246,-0.021700483,0.165300001,0.219998545,-0.12497123,-0.055841357,-0.072485087,-0.062001301,-0.251369699
CULSPOR,-0.04644524,-0.03840306,0.000740006,-0.16970036,-0.02175869,0.06969986,0.095441007,0.011739761,0.476114903,-0.109245609,0.062950348
COMSTO,-0.047607337,0.007489712,-0.077696871,0.102251818,0.175116308,0.370806076,-0.129640164,-0.026123098,0.048859574,0.042597604,0.007685208
LandUs,-0.054715611,0.008072318,-0.107557926,0.075920917,0.149365909,0.385432228,-0.098575631,-0.005277067,0.176959412,0.012438637,0.022600153
M_MD_RN,-0.06357576,0.086519609,-0.03248753,-0.292619012,0.159937335,-0.03664542,-0.085580776,0.040356688,-0.069415963,0.12571149,0.137960731
POP_SEG,-0.067791638,0.076278089,-0.067593168,0.001526811,-0.056837449,-0.110875615,0.129077706,0.03340724,0.019078752,-0.12193098,0.200264237
M_MD_R4500,-0.084904785,-0.081912823,-0.14881557,-0.002192642,-0.184914414,-0.012832839,0.105909352,0.185221661,0.133382103,-0.083382615,-0.183972731
A_CONTVTY,-0.085267173,-0.034216927,0.054696933,0.07568162,0.0396258,0.170625122,0.335522227,-0.183374142,-0.050986842,-0.185951114,-0.009687597
M_MD_R2000,-0.094202008,-0.051388743,-0.081395765,0.12417629,-0.173842035,-0.008675514,0.106323163,-0.003557704,0.231606674,-0.256055082,0.04096848
M_MD_R5000,-0.123681799,0.006875747,-0.120867781,-0.133930164,-0.053747166,-0.088898581,0.125898469,0.140642856,0.132101632,-0.228450327,0.036170223
