,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
A_Ch_R1500,0.16472073129006837,0.0033543992781307937,0.05451962571346641,0.08447339583356381,0.1231783269551102,0.017195634915961582,-0.09935152032785248,-0.021596140420972354,-0.08664397327502026
A_Ch_R2000,0.16456935504774306,0.08135748119552184,0.03426213354528907,0.025856357925278035,0.09232649973616648,-0.04070836787082058,-0.11126391910467845,-0.052653122090417066,-0.03665517126506478
A_Ch_R1250,0.16350914038653577,-0.04539409422348209,0.06672022003322092,0.08377781331945364,0.09383823459988826,0.02147737896293857,-0.04014806012799281,0.01695820540384653,-0.1266049696888443
A_I_R1500,0.1592094464933215,0.09024573602965748,-0.09100230340652744,-0.02340712478442611,0.028339689046613586,0.011692858855917606,0.0388168591914289,-0.036953475165784476,0.06947521548481406
M_CH_R1500,0.1591645561583778,-0.04249724047849133,0.08542677116771445,0.1447125910501474,-0.030946330688512984,0.07846420215078279,-0.013092036489898045,0.03221097330596175,-0.11202752560766162
A_I_R2000,0.15777626757553145,0.10849693481538743,-0.06171155047904845,-0.032737996949616925,-0.0509991632856537,0.02634020443645417,0.1335033179644861,0.028519315737931834,0.04378719783602765
A_I_R1250,0.15651357725741355,0.07242748459864325,-0.10577590590844588,0.009926223162795246,0.06909005336501475,-0.019589171478580872,-0.017260510657952137,-0.011512514170016402,0.09566911801925378
A_Ch_R2500,0.15638523737884907,0.11430138444084438,0.0020264097867772196,-0.04125086769270811,0.06870277473120597,-0.0917942546704273,-0.07792329795413071,-0.06733649166365085,-0.023502189223047892
A_Ch_R1000,0.15553263171947096,-0.08996325116627475,0.07174095346395884,0.08399624978510116,0.054660451178785985,0.0042135310863442,0.020649120473422353,0.057274319492541394,-0.1552281510831601
A_I_R1000,0.15496403748850468,0.024844959684791907,-0.1098292714425966,-0.011808716478002084,0.08825670812165687,-0.10405214233459648,-0.001148680850303706,0.11064986312046801,0.08461742138756584
M_CH_R2000,0.15449087203320216,0.02325937898390446,0.0987962487955975,0.17110284033310005,-0.05574901729814237,0.04789310418713845,-0.06869736724402545,0.05093509582910273,-0.06739040312809136
A_I_R4500,0.1538067506724721,0.07756266041313331,-0.12882064649255093,-0.05571891348149303,-0.04932358150655115,0.03770769773648791,0.09231934586483108,0.04374451758566763,0.02595493198551923
M_CH_R1250,0.15330195959648693,-0.08612699281151259,0.07423994582333365,0.12309922093792629,-0.038841307251388076,0.07900061775890786,0.03472365422505448,0.023866547943021496,-0.14454269492744695
A_I_R4000,0.1532666185778772,0.09644181902250937,-0.1125643376759192,-0.05202893980147538,-0.04557598493757405,0.03714524392494786,0.10716257369800145,0.03509094183565231,-1.9158354548790804e-05
A_I_R5000,0.15220304809175697,0.06046788642649724,-0.14536224695876776,-0.06168332230371807,-0.05532362154650675,0.03651576942179753,0.08495982189535883,0.060766252501425325,0.029029285157147307
A_I_R3500,0.15205043517864983,0.11484138514070313,-0.08760012510130484,-0.04176893009211599,-0.04751247243524051,0.032229863390333936,0.12612147749789643,0.03316095126934517,-0.02101506704704776
A_Ch_R3000,0.14662800107293747,0.12484041012796267,-0.02872598306767793,-0.07676305483197392,0.06509738542792122,-0.12177138952920293,-0.05578169077816458,-0.07359103317697163,-0.016467285046217018
A_I_R2500,0.14595104515281473,0.1371639531813316,-0.06148902635885564,-0.03758885629522409,-0.05373089770499068,0.01587758507257018,0.12005962161959005,0.027357591329411398,0.024376625673931826
A_I_R3000,0.14447696744161317,0.13743728004100508,-0.08301172358998699,-0.03648695707795212,-0.03808981636961139,0.042763099203699244,0.10585123228674646,0.017945872188296862,-0.007680400140242148
M_CH_R2500,0.14292876934478027,0.06298378015988176,0.10356222935794375,0.18549470730275835,-0.08229678790402667,0.02070967461445032,-0.09469217254544164,0.05968323692376262,-0.044132016076888436
M_CH_R5000,0.1418739187791701,0.09987243963672189,0.04614900028751273,0.17269373093769513,-0.027308620718554503,-0.028516623360515764,-0.16785106102807626,0.08128978715656407,0.053007442770321406
A_Ch_R3500,0.1402291565312589,0.1249375582570941,-0.04801734240360485,-0.10503970513959403,0.06924047571476978,-0.12795317482044843,-0.03403329471904276,-0.07647431196345235,-0.01969656330708895
M_CH_R4500,0.13972267985707304,0.09796759736245404,0.05872497494899149,0.18183647888554225,-0.04446202833283873,-0.02615896928240759,-0.1592423076947131,0.071377733025288,0.03710548506709126
M_CH_R1000,0.13895812036584274,-0.12936202582179518,0.06263782108575922,0.09132275805863058,-0.045619200501490265,0.06676846193654029,0.09797414970536102,0.016161015929576816,-0.15546796135052343
A_Ch_R750,0.13846106227800697,-0.133838541006559,0.023529717824090777,0.10727589720020747,0.04467975163879072,0.052019957525688304,0.07513098271773413,-0.0019896186879562934,-0.14564480910379402
M_CH_R4000,0.1371953474955708,0.0944084481041087,0.06976529491264025,0.1911563989444004,-0.05854294725349145,-0.02176899461369306,-0.15215767436407315,0.06336365634746134,0.020094921996332407
A_Ch_R4000,0.1368277205124911,0.11865933850818552,-0.06681081278726912,-0.12751289020528295,0.07468194051929347,-0.1277871857563528,-0.007720645123467658,-0.07704359760238504,-0.029818195468753812
M_CH_R3000,0.13678850611099966,0.08068571512689149,0.09491908581008274,0.1957519099086147,-0.08093665765423488,0.0033113187621627064,-0.1179063520439692,0.05728856318334799,-0.02241441069644939
A_Ch_R4500,0.1366853816803733,0.10673589319460182,-0.07711387565401197,-0.1408184330029958,0.06955852953480822,-0.11976904131703915,0.02813666850138997,-0.08143574230922689,-0.05168632855066298
A_Ch_R5000,0.13668056192254285,0.08934548446807755,-0.08220695983100303,-0.14877061928144025,0.05991423683706262,-0.10661496265062127,0.06024945542054291,-0.0963208378189828,-0.08247828546544049
A_I_R750,0.1366298839578604,-0.07910957696477587,-0.10080085802823328,-0.0028471722720050255,0.06464922075663976,-0.21545459910771902,-0.01217439863626126,0.13344375991688234,0.0736770740014618
M_CH_R3500,0.1356068651701441,0.09013549248053476,0.08256433411049292,0.19616542634754147,-0.07025573979272759,-0.010821753331392833,-0.13903716637685193,0.05823402826150707,0.002238239601865456
M_CH_RN,0.12818907016625086,0.10425178325977946,0.002171404433100155,0.07775665229350127,0.09962314991332327,0.010428138370782694,-0.18850691544013695,0.1710162139898339,0.18904465618853233
A_I_R500,0.11962035134337709,-0.1160403289889267,-0.047694409728476654,0.08999890005339041,-0.08580839040533232,-0.215814004539334,0.07601038037589965,0.1016102107529852,-0.012675727070265189
A_Ch_R500,0.1182112645496656,-0.14834416192960376,-0.046425325414045794,0.09584913345042106,0.04970296343494361,0.14043475991072343,0.16392580931127426,-0.1215732302045465,-0.0867005102902574
M_CH_R750,0.11754108163422733,-0.1640098577944175,0.024234267922877178,0.08803292224347048,-0.034796651575479044,0.06633929577121851,0.1463915419296335,-0.03098093032895391,-0.14165487080190903
T_Ch_R750,0.11607795994172544,-0.16611682032061267,0.0946465739261661,-0.04921726715639633,0.0434550767839821,0.0363606530937639,0.02416888835347179,-0.10665308725784456,0.07925904308499317
A_I_RN,0.11357415768832049,0.008424434164341525,-0.2017294112747911,-0.14008740729082003,-0.09791883473407782,-0.08728185979002803,0.015326546273192255,0.11379313346742415,-0.05299361867881192
T_Ch_R1500,0.10832398925258044,-0.15389363599019606,0.11553570272798022,-0.15964926560065557,-0.0393355920717917,0.013581732359918506,-0.029482122335965578,-0.04075522794024437,0.09985458140108605
T_Ch_R2500,0.1069419918638788,-0.10986325742149997,0.1550280972080882,-0.19855918620901206,-0.04017724774929836,0.00035068271699426024,-0.0637350327407912,0.006867294284764178,0.06437340269501197
