,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
A_I_R750,0.17211397593853903,-0.05135564269783391,-0.028327591251891233,-0.024937353307706342,0.016188354625793676,0.0666630469458531,0.047443098761628395,0.09065510572139147,-0.0065147931197806165,-0.03150502316024614,-0.021247547585040116,-0.08880845668684546
A_I_R1000,0.16813924489317678,-0.08238911594885623,-0.011911289011680417,-0.04020030369560035,-0.0037867550046005332,0.06331899852546241,0.06262766232773236,0.1088570726599552,-0.024965990324806724,0.024704578625494324,0.04513331658041333,-0.051682734198733656
M_CH_R3000,0.1650470238111897,-0.004134796388859121,-0.06203022222612718,0.06689585822283993,0.010017927365592424,-0.09152663972687773,-0.11850446409944353,-0.16404055055316252,-0.008316015504136338,-0.053052855370807075,-0.07080906081981554,0.03230622545117791
A_I_R500,0.16486485727927663,0.022173967689810323,-0.048043636749016155,0.027344148791573555,0.0034118118900153794,0.0920721073179227,0.005310766230776107,0.10933712356045756,0.12288971276205107,0.03839880524993208,-0.10625097359501687,-0.030611273858684184
M_CH_R2500,0.1640862863412792,0.0334481474309995,-0.060842181203697776,0.052486673505093166,0.007511036781277901,-0.052140064745327314,-0.15988795352424076,-0.15598156748682243,-0.024111323584662375,-0.0015833203529168908,-0.07519816356372892,-0.016941203448935988
M_CH_R3500,0.1629187060683432,-0.03478212744993456,-0.057847891580398256,0.08156472014769645,0.010716921717359995,-0.10700475008814472,-0.06313350223013553,-0.16119318757865636,0.008274276008863189,-0.12273520991924725,-0.04380985970354467,0.07733470577898273
M_CH_R2000,0.16219796603928516,0.07304193043787836,-0.0589316586775258,0.042012105799992455,0.007362011126403069,0.0012527256794310022,-0.17807687347971674,-0.1184156190271549,-0.037567011625270694,0.018935567996805715,-0.0219255370265579,-0.033552380715438916
A_I_R1250,0.16043067305996464,-0.10033402247459655,0.023893634149346425,-0.05047901780380473,-0.012758030407499128,0.04879274434562511,0.04502568582138561,0.13749076221140075,-0.014878618417235175,0.06130841559828775,0.047095311193592795,-0.08217117273801423
M_CH_R4000,0.15844051736414363,-0.05519936497860335,-0.04763817422322586,0.0870654472814086,0.017516156874271355,-0.11399908905981644,-0.009437388608064352,-0.14508987541413665,0.017396978989998667,-0.18074458311197708,-0.002666805606099952,0.11050203048128644
A_Ch_R1500,0.15802656543127067,0.05300413021451276,-0.0903870064434063,0.06824196223771152,0.07495496751821377,0.11055642062199139,-0.03601729838568268,-0.09843384401233679,-0.07021846404517573,0.10573636308053404,0.034465692136860675,-0.09456932307329323
A_I_R1500,0.15595516874246862,-0.11519453126094054,0.0530503715471182,-0.05742467075166208,0.011740136786935744,0.04356635574843868,0.0005027766320424982,0.12236134987661676,-0.007154121197782909,0.048401448322149834,0.01664545495171706,-0.09120692113580921
M_CH_R1500,0.15525924009479253,0.11123289033487146,-0.06115465605732193,0.038720647547245565,0.0028614654858682667,0.03990241095458025,-0.16335344105388627,-0.0679163964455869,-0.049893058120508746,0.007242144492891789,0.052453058742261235,-0.007522744637366065
M_CH_R4500,0.15315008234915733,-0.06714883437712793,-0.03815279929543608,0.08405518103499937,0.02704978898325184,-0.12234230578689848,0.030303644838777427,-0.12153987983438992,0.02574898952795715,-0.20875718907191823,0.036313892803998736,0.13525290799764936
A_I_R2000,0.15296525497391167,-0.12950147012758131,0.071041924625959,-0.05523430495961101,0.0014066462822245193,0.03891825419152691,-0.04009555716321993,0.09062451833057836,0.011230053901248658,0.040444758638227725,-0.026066478152559858,-0.0743071869747116
A_Ch_R1250,0.1523344956716048,0.09438272138626941,-0.09455865496689424,0.06453215422330806,0.03331053488204598,0.119573364781227,-0.058381102443066255,-0.053516778946034765,-0.06361907733744669,0.050801918170328,0.06165928288968377,-0.08301104106177633
A_Ch_R2000,0.14976500027291723,-0.021256980265647325,-0.09406655202350206,0.059719256700477494,0.12048845239306998,0.05256670420392222,-0.014088325665405714,-0.1306200642761326,-0.09017290623808653,0.24831566921246248,-0.06219910683503838,-0.05605172101704756
M_CH_R5000,0.1491515068443978,-0.07299128567986814,-0.030402062745241116,0.07956726874573218,0.03303468022926999,-0.127160135775892,0.0547498553155778,-0.10249697945944504,0.02836171514152336,-0.21530057614442027,0.06721775386225202,0.14250401980411667
M_CH_R1250,0.1486156841249593,0.12513580187494297,-0.06448871493075702,0.038662268653508476,-0.01611625470246061,0.0460958415549034,-0.16119325806773963,-0.04110469677206539,-0.05052688738592833,-0.001122836042018252,0.08038811448221815,0.03418811139081016
A_I_R2500,0.14529122315161888,-0.14519013934648362,0.09544203871040266,-0.030599174136605862,-0.024095715594508665,0.04437558115326025,-0.050090638253521926,0.0656625231667493,0.02847830044471631,0.00589831507959337,-0.003941836055702388,-0.06732712846342266
A_Ch_R2500,0.14045797785659198,-0.069172994300499,-0.09108138932581268,0.05664431765269779,0.1290053128503707,0.006272180436289449,0.019901040599248784,-0.10680377352045788,-0.08988666821067283,0.2871173859500199,-0.10317621421900706,-0.012721280476224712
A_Ch_R1000,0.14038624658389076,0.12869719220019227,-0.09712246709438654,0.06243213848853762,-0.012602525341708887,0.12098142839568952,-0.09826813828942838,-0.01932681038547231,-0.027664642653758117,0.004298164614549598,0.06682430063771808,-0.06028300549513267
A_I_R3000,0.1403648533421395,-0.14606206146791229,0.11061682136176115,-0.009844467662634616,-0.051028859771158265,0.06876959452006022,-0.034880855094763526,0.07480265147659601,0.04217568571590151,-0.014003676566983175,0.008032725456031599,-0.06175374837684121
M_CH_R1000,0.14030404326954588,0.14003445995285,-0.07485949604368415,0.04036408906493121,-0.03204611046950086,0.05338006519608322,-0.15287199010823666,-0.024503848226413483,-0.04816665299192552,-0.024426097088367196,0.08513051812564647,0.06067579719402525
A_I_R3500,0.13705635310266662,-0.1445324418906378,0.11329478325423578,0.00458285341076693,-0.06651700765527367,0.09556089783805913,-0.032392383511621325,0.0839006191118363,0.04669951028199733,-0.05443263493496716,-0.008827777871844201,-0.04249868712328764
A_Ch_R3000,0.13643120005284945,-0.10974941839323225,-0.07466302032090555,0.05311411571383053,0.1339512894128997,-0.02370706397519728,0.07129107742132097,-0.06775778734530682,-0.08196038135067747,0.24406522854399787,-0.0872246144743968,0.01985208471994063
A_Ch_R3500,0.13332584889798493,-0.13404637740889622,-0.06062842694326666,0.05641308408777526,0.12189728139189429,-0.054830110523671365,0.1180807165853681,-0.03016806712996336,-0.061199251555331256,0.1709142940963003,-0.05955731953547033,0.05140901103601356
M_CH_R750,0.131898802345157,0.15981585848248508,-0.0778363209727582,0.04884841516914257,-0.06046858565916519,0.031589432416124115,-0.12688955647781927,-0.015426408286766013,-0.007973586097980337,-0.02560764462663627,0.04254473937511014,0.05150358118046055
A_I_R4000,0.13147316167073542,-0.14487596355658333,0.12128421900266508,0.0013527692494903823,-0.0768723990515689,0.11606732438088825,-0.028235802379417488,0.10498079680423207,0.04906683228367161,-0.055313627219435446,0.009953564126386726,-0.02671678604004986
A_Ch_R4000,0.1293332006526803,-0.14431562805337464,-0.05363544397089635,0.06399193068766532,0.10098458397224927,-0.08278849888027098,0.15021013201177927,-0.006652179199391491,-0.03736980478441982,0.11207245121507632,-0.036605321349708564,0.08151624674877049
A_I_R4500,0.12754223803048892,-0.1426700273325915,0.1253013077518154,0.0034239217773458486,-0.08467837329522067,0.1477615306961583,-0.03286599266587067,0.09311675952032294,0.040136258491230974,-0.04256191260157731,-0.02357807898306181,-0.011444574414983099
A_Ch_R750,0.12692189765281797,0.1576909170791061,-0.08102917915926758,0.07136525651593388,-0.0586256010101646,0.09126320441363021,-0.11347799388005887,0.00016408481127843503,0.026681443996273667,-0.017235819857233377,0.046891142721153585,-0.046009965623315136
A_I_R5000,0.1266050808358248,-0.14070349439932336,0.12160043434167296,0.007380131695412249,-0.08872440674683249,0.16327821742848228,-0.03520013972910371,0.06989855995760338,0.03884013733897062,-0.032629515224086345,-0.06572190610273104,-0.026027975090263198
A_Ch_R4500,0.1241330004013116,-0.14987696220368266,-0.04705072476165715,0.0669126466481879,0.08590651129535745,-0.10523406297098141,0.17081183160675237,0.011770097386909501,-0.013311834584693887,0.05919083711342358,-0.018936141599037712,0.09713232344977633
